Zipcode	City	County
72438	Leachville	Mississippi
72440	Lynn	Lawrence
72442	Manila	Mississippi
72443	Marmaduke	Greene
72444	Maynard	Randolph
72447	Monette	Craighead
72450	Paragould	Greene
72453	Peach Orchard	Clay
72454	Piggott	Clay
72455	Pocahontas	Randolph
72456	Pollard	Clay
72458	Powhatan	Lawrence
72459	Ravenden	Lawrence
72460	Ravenden Springs	Randolph
72461	Rector	Clay
72466	Smithville	Lawrence
72469	Strawberry	Lawrence
72470	Success	Clay
72471	Swifton	Jackson
72472	Trumann	Poinsett
72473	Tuckerman	Jackson
72476	Walnut Ridge	Lawrence
72479	Weiner	Poinsett
72482	Williford	Sharp
72501	Batesville	Independence
72512	Horseshoe Bend	Izard
72513	Ash Flat	Sharp
72517	Brockwell	Izard
72519	Calico Rock	Izard
72520	Camp	Fulton
72521	Cave City	Sharp
72523	Concord	Cleburne
72524	Cord	Independence
72527	Desha	Independence
72528	Dolph	Izard
72529	Cherokee Village	Sharp
72530	Drasco	Cleburne
72531	Elizabeth	Fulton
72532	Evening Shade	Sharp
72533	Fifty Six	Stone
72534	Floral	Independence
72536	Franklin	Izard
72537	Gamaliel	Baxter
72538	Gepp	Fulton
72539	Glencoe	Fulton
72540	Guion	Izard
72542	Hardy	Sharp
72543	Heber Springs	Cleburne
72544	Henderson	Baxter
72545	Heber Springs	Cleburne
72546	Ida	Cleburne
72550	Locust Grove	Independence
72554	Mammoth Spring	Fulton
72555	Marcella	Stone
72556	Melbourne	Izard
72560	Mountain View	Stone
72561	Mount Pleasant	Izard
72562	Newark	Independence
72564	Oil Trough	Independence
72565	Oxford	Izard
72567	Pleasant Grove	Stone
72568	Pleasant Plains	Independence
72569	Poughkeepsie	Sharp
72571	Rosie	Independence
72572	Saffell	Lawrence
72573	Sage	Izard
72576	Salem	Fulton
72577	Sidney	Sharp
72578	Sturkie	Fulton
72579	Sulphur Rock	Independence
