2/5/25,,,,,,,,,
County,Auth #,Organization Name,Center Name,Address,Address 2,City,Zip,Phone,Extension
BREVARD,2677,"CHILD CARE OF SOUTHWEST FL., INC.",FIRST STEPS EDUCATION LLC,675 S COURTENAY PKWY,,MERRITT ISLAND,32952,3214491199,
BREVARD,4217,GIGGLES PRESCHOOL & DAYCARE,GIGGLES PRESCHOOL & DAYCARE INC,1320 CULVER DR NE STE 10,,PALM BAY,329071104,3217236986,
BREVARD,5656,GINGERBREAD MANOR CHILD CARE CENTER,GINGERBREAD MANOR CHILD CARE CENTER,985 EYSTER BOULEVARD,,ROCKLEDGE,329553527,3216359292,
BREVARD,1220,JACK & JILL'S PLAYSCHOOL & NURSERY,JACK & JILL'S PLAYSCHOOL AND NURSERY INC.,305 ACORN DRIVE,,TITUSVILLE,327806551,3213831956,
BREVARD,6190,JELLY BEAN JUNCTION,JELLY BEAN JUNCTION,3115 NEW YORK AVE,,MELBOURNE,329347354,3212422011,
BREVARD,2677,"CHILD CARE OF SOUTHWEST FL., INC.",JUNIOR BEARS CHILD CARE LLC,2980 PAT MCKEE PLACE,,MELBOURNE,32940,3217524847,
BREVARD,4279,SCHOOL BOARD OF BREVARD COUNTY,JUPITER ELEMENTARY,950 TUPELO RD SW,,PALM BAY,32908,3219525990,
BREVARD,5724,JUST FOR KIDS,JUST FOR KIDS,1149 LAKE DR.,,COCOA,329228644,3216316252,
BREVARD,6100,JUST FOR KIDS EAST,JUST FOR KIDS EAST,365 EAST DRIVE,,MELBOURNE,329041030,3219143205,
BREVARD,6624,JUST FOR KIDS PALM BAY,JUST FOR KIDS PALM BAY,1430 GLENHAM DR NE,,PALM BAY,329054224,3218024009,
BREVARD,6548,JUST FOR KIDS TITUSVILLE,JUST FOR KIDS TITUSVILLE,1027 S PARK AVENUE,,TITUSVILLE,327803982,8633819676,
BREVARD,6562,KID CITY USA - PALM BAY,KID CITY USA - PALM BAY,1516 NORMAN ST NE,,PALM BAY,329072504,3217285503,
BREVARD,6412,KID CITY USA  MELBOURNE,KID CITY USA MELBOURNE,4950 DAIRY RD,,MELBOURNE,329048413,3219518880,
BREVARD,4994,KIDS WORLD ACADEMY OF FLORIDA,KIDS WORLD ACADEMY OF FLORIDA,1181 SAN FILIPPO DR. SE,,PALM BAY,329095793,3219140894,
BREVARD,277,KINDERCARE LEARNING CENTERS LLC,KINDERCARE LEARNING CENTER - CATALINA # 1020,55 CATALINA ISLE DRIVE,,MERRITT ISLAND,32953,3214533473,
BREVARD,277,KINDERCARE LEARNING CENTERS LLC,KINDERCARE LEARNING CENTER BARNA #793,2701 BARNA AVE,,TITUSVILLE,32780,3212683891,
BREVARD,277,KINDERCARE LEARNING CENTERS LLC,KINDERCARE LEARNING CENTER WICKHAM #792,2220 N WICKHAM ROAD,,MELBOURNE,32935,3212544029,
BREVARD,51,COM. COORD. CARE FOR CHILD. (4C),KINGDOM BUILDERS CHILDCARE CENTER INC,3155 SOUTH STREET,,TITUSVILLE,32780,3215672507,
BREVARD,1211,KOALA T KARE LEARNING CENTER,KOALA T KARE LEARNING CENTER,5319 YARBER AVENUE,,COCOA,329274807,3216365593,
BREVARD,1348,LA PETITE ACADEMY,LA PETITE ACADEMY (FRANKLIN),2111 FRANKLIN DR N.E.,,PALM BAY,32905,3216765052,
BREVARD,1348,LA PETITE ACADEMY,LA PETITE ACADEMY COURTENAY,2200 N COURTENAY PKWY,,MERRITT ISLAND,32953,3214591825,
BREVARD,1348,LA PETITE ACADEMY,LAPETITE ACADEMY (BARTON BLVD),170 BARTON BLVD,,ROCKLEDGE,32955,3216315017,
BREVARD,4117,LITTLE ANGELS CHRISTIAN BASED ACADEMY LLC,LITTLE ANGELS CHRISTIAN BASED ACADEMY LLC,3080 JUPITER BLVD SE,,PALM BAY,329094017,3219143991,
BREVARD,2677,"CHILD CARE OF SOUTHWEST FL., INC.",M AND M COMMUNITY ACADEMY INC.,807 PEACHTREE ST,,COCOA,32922,3213387690,
BREVARD,5055,CHILDREN'S HOME SOCIETY OF FLORIDA,MARJORIE OLSEN EARLY HEAD START,1403 DIXON BLVD,,COCOA,32922,3218771102,
BREVARD,4279,SCHOOL BOARD OF BREVARD COUNTY,MIMS ELEMENTARY,2582 US 1,,MIMS,32754,3212643020,
BREVARD,51,COM. COORD. CARE FOR CHILD. (4C),MUNCHKINLAND CHILD CARE CENTER,3930 FAY BLVD,,COCOA,32927,3216393700,
